id,type,text1,text2,text3,text4,notes
ironshell,FACTION,"Iron Shell is a military division of the Hegemony Ministry of Commerce founded by charter after the Second AI War. They are responsible for collecting tariffs and administering the official Hegemony tax code. As part of the Ministry of Commerce, Iron Shell's duty lies in pursuing and resolving instances of tax evasion, as well as overseeing various programs, including the AI Inspection Regulations and the XIV Battlegroup Material Reclamation Initiative.

Since its establishment, the Iron Shell has been responsible for the collection and administration of all Hegemony funding and financial assets. It has, however, faced numerous controversies concerning its methods, their legality, and the principle of taxation in a post-Collapse sector. During the Askonia Crisis, the division struggled with reduced morale and desertion after the formation of the Sindrian Diktat. Nonetheless, during the Second AI War, the division collected billions of credits to fund the Hegemony's expenditures. Now, using new military technology developed on their capital planet of Chitagupta, they form the spearhead of the Hegemony's project to restore the Domain.",,,,
#Planets,,,,,,
station_chitagupta,CUSTOM,"An orbiting treasury, naval yard, and port, Lekhani Station is the unquestioned cosmopolitan center of business and taxation in the Naraka system as well as the seat of the Hegemony commerce district. Heavy commercial and naval traffic swarms the station at all times.",,"Restored from a vast derelict structure of pre-Collapse design, the fueling and repair gantries are hidden among industrial hangars that lies in the shadow of a huge ring of laboratories and associated support systems. Commercial concourses, recreational facilities, and luxury resorts are watched over by a command & control spire bristling with top of the line communication arrays and weapon pods.",,
planet_chitagupta,CUSTOM,"Originally a harsh, frozen world, a small mining colony was established some time after the Collapse but destroyed in the midst of the First AI War. The atmospheric changes from the bombardment set off an inadvertent terraforming process, eventually turning the planet's glaciers into seas. Decades later, with the process complete, the Hegemony settled and stabilized the world, turning it into a resort headquarters for Iron Shell. It is said that the seas grow warmer every cycle: a trend welcomed by guests, but worrying to marine biologists.",,"A gleaming cerulean haven amongst the dreary backwater of Naraka, the presence of Iron Shell on Chitagupta provides crucial food and security to the teetering system and its colonies.

Though chiefly a military world, economically speaking, it has nevertheless found fame for its extravagant recreational facilities and resorts. While mainly used by high-ranking or important Hegemony officials, common citizens may still enjoy these first-class amenities, that is, if they can afford the exorbitant prices.",,
planet_chitagupta_ironshell,CUSTOM,"Originally a harsh, frozen world, a small mining colony was established some time after the Collapse but destroyed in the midst of the First AI War. The atmospheric changes from the bombardment set off an inadvertent terraforming process, eventually turning the planet's glaciers into seas. Decades later, with the process complete, the Hegemony settled and stabilized the world, turning it into a resort headquarters for Iron Shell. It is said that the seas grow warmer every cycle: a trend welcomed by guests, but worrying to marine biologists.",,"A gleaming cerulean haven amongst the dreary backwater of Naraka, the presence of Iron Shell on Chitagupta provides crucial food and security to the teetering system and its colonies.

Though chiefly a military world, economically speaking, it has nevertheless found fame for its extravagant recreational facilities and resorts. While mainly used by high-ranking or important Hegemony officials, common citizens may still enjoy these first-class amenities, that is, if they can afford the exorbitant prices.",,
planet_chitagupta_hegemony,CUSTOM,"Originally a harsh, frozen world, a small mining colony was established some time after the Collapse but destroyed in the midst of the First AI War. The atmospheric changes from the bombardment set off an inadvertent terraforming process, eventually turning the planet's glaciers into seas. Decades later, with the process complete, the Hegemony settled and stabilized the world, turning it into a resort headquarters for Iron Shell. It is said that the seas grow warmer every cycle: a trend welcomed by guests, but worrying to marine biologists.",,"A gleaming cerulean haven amongst the dreary backwater of Naraka, the presence of Iron Shell on Chitagupta provides crucial food and security to the teetering system and its colonies.

Though chiefly a military world, economically speaking, it has nevertheless found fame for its extravagant recreational facilities and resorts. While mainly used by high-ranking or important Hegemony officials, common citizens may still enjoy these first-class amenities, that is, if they can afford the exorbitant prices.",,
planet_chitagupta_independent,CUSTOM,"A group of freelancers has taken over operations on this world. While initially certain they would profit tremendously from the luxury resorts, the cruel reality of maintaining the infrastructure has left them on the verge of bankruptcy. Skipping payments to Jangala lenders might risk reprisals, but the locals don't dare to skimp on the maintenance of the infrastructure holding the skies and seas back from a possible lethal climatic disaster.",,,,
planet_chitagupta_luddic_church,CUSTOM,"The Church has decreed that refugees remain on the planet while it maintains the heavy industry needed to maintain the terraforming equipment. As demanded by the teachings of Ludd, the biosphere and climate are held in stasis,  trapped at a stagnation point just short of paradise.",,,,
planet_chitagupta_luddic_path,CUSTOM,"A small community of Pathers ekes out an existence here. Whatever vast infrastructure remained after their invasion is now salvaged. Nearly all Pather colonies resemble military camps more than actual colonies, and this planet is no exception to that rule. It remains to be seen if rumors of impending biosphere collapse and climate reversion will come true.",,,,
planet_chitagupta_persean,CUSTOM,"League officials were more than happy to spread their influence to the Naraka system when given the opportunity. The military dockyards once built by Iron Shell are now used by the League to stage raids. Any accusations of encroachment into Hegemony space are denied. The League asserts a rightful claim to the planet, dating back to before the Collapse, justified by the previously unheard of Nine-System Line. The climate preservation infrastructure is being maintained about as well as anything in the Persean Sector, and the storms are held at bay.",,,,
planet_chitagupta_pirates,CUSTOM,"After the more disreputable factions in the sector found a weakness in Chitagupta's defenses, they successfully invaded and conquered the planet, turning the colony into a hub of pirate activity in the system. It remains to be seen if the squabbling warlords of the planet will successfully maintain the climate control infrastructure, or if the political failures of the former rulers will lead to the collapse of the terraforming machinery as well.",,,,
planet_chitagupta_sindrian_diktat,CUSTOM,"The Diktat's hold on Chitagupta is necessitated by a desire to interfere with the Hegemony's fuel production facilities on Nachiketa. Raids by privateers on convoys in the system are just infrequent enough to prevent a full-scale conflict between the Diktat and Hegemony from breaking out. The Ministry of Labor and the Ministry of Order both hold equal authority over Chitagupta, controlling the climate maintenance infrastructure, hydropower facilities, fisheries, and other important aspects of the economy.",,,,
planet_chitagupta_tritachyon,CUSTOM,"Innumerable Tri-Tachyon hydropower plants dot the oceans of this planet, while the luxury resorts are being restored back to their former conditions. Officials are certain they are bound to make a profit... eventually. The climate preservation infrastructure is held stable with typical Tri-Tach efficiency, though there are concerns about the effects of recent cost cuts.",,,,
planet_yami,CUSTOM,"An underground penal colony on an inhospitable planet, An underground penal colony on an inhospitable planet, Yami is host to tens of thousands of Hegemony prisoners whose offenses range from tax evasion to murder. Managed by the wardens controlling the planet's infrastructure, the prison population is put to work mining and refining metals that are then shipped off world to be turned into supplies for the Hegemony war machine. With no atmosphere to speak of, there is no escape for the violent, criminal and taxably liable enemies of the Hegemony.",,"Under the Iron Shell charter, the frozen celestial body serves as a penal colony for political dissidents, criminals, and elusive tax evaders.

The burden of serving their sentences in Yami's cramped, frigid mines takes a great toll on most prisoners' spirits and bodies, and escaping the prison complex itself is futile, given the inability to survive the surface conditions or escape the planet itself.",,
planet_yami_ironshell,CUSTOM,"An underground penal colony on an inhospitable planet, Yami's subterranean markets bustle with activity as traders and high profile patrons arrive from the spaceport. On occasion, the prison wardens are rumored to hold auctions, selling prisoners to the highest bidder for nebulous purposes. What is known is that, even accounting for the death toll expected in such a place, prisoners have gone missing with alarming regularity. The reticence of the authorities to investigate and the unwillingness of the Hegemony to intervene has lead to some protests. Those protests never last long, however, with protesters either imprisoned or, more often, paid to keep quiet.",,"Under the Iron Shell charter, the frozen celestial body serves as a penal colony for political dissidents, criminals, and elusive tax evaders.

The burden of serving their sentences in Yami's cramped, frigid mines takes a great toll on most prisoners' spirits and bodies, and escaping the prison complex itself is futile, given the inability to survive the surface conditions or escape the planet itself.",,
planet_yami_hegemony,CUSTOM,"An underground penal colony on an inhospitable planet, Yami is host to tens of thousands of Hegemony prisoners whose offenses range from tax evasion to murder. Managed by the wardens controlling the planet's infrastructure, the prison population is put to work mining and refining metals that are then shipped off world to be turned into supplies for the Hegemony war machine. With no atmosphere to speak of, there is no escape for the violent, criminal and taxably liable enemies of the Hegemony.",,"Under the Iron Shell charter, the frozen celestial body serves as a penal colony for political dissidents, criminals, and elusive tax evaders.

The burden of serving their sentences in Yami's cramped, frigid mines takes a great toll on most prisoners' spirits and bodies, and escaping the prison complex itself is futile, given the inability to survive the surface conditions or escape the planet itself.",,
planet_yami_independent,CUSTOM,"Independent traders were quick to jump at the chance for an outpost in the Naraka system. The majority of the planet's structures, being prisons and mines constructed by Iron Shell, are now be used as trading depots and storage facilities.",,,,
planet_yami_luddic_church,CUSTOM,"The Church set up a small mission on this moon, converting the defunct prisons into places of worship. Citizens from the planet below and throughout the system are welcomed here with open arms, regardless of creed or nationality. Conversions are slow and arduous as the Church has had little influence in the Naraka system since the Collapse.",,,,
planet_yami_luddic_path,CUSTOM,"Fringe Pather groups dot the surface of this moon following their successful invasion. Most ""buildings"" are actually derelict ships deemed too hazardous for even the Path to continue using. Their internal bulkheads and weapon systems are gutted to make room for colonial necessities like habitation modules and port facilities. At what point the Pathers actually took over the moon is exceptionally unclear but they are unlikely to be uprooted without a push.",,,,
