name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadsword (XIV),eis_broadsword,,XIV Battlegroup,flarelauncher_fighter,,800,125,150,,35,0,,180,365,320,80,165,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Gladius (XIV),eis_gladius,,XIV Battlegroup,flarelauncher_single,,600,120,270,,55,0,,270,360,270,135,270,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Warthog (XIV),eis_warthog,,XIV Battlegroup,,,800,200,270,,60,0,,115,160,135,90,180,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Xyphos (XIV),eis_xyphos,,XIV Battlegroup,,,450,75,670,,55,0,,150,280,230,75,165,30,FRONT,,160,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Kopis (XIV),eis_kopis,,XIV Battlegroup,ammofeed,,500,75,230,,55,0,,200,320,280,110,220,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Khopesh (XIV),eis_khopesh,,XIV Battlegroup,,,500,90,570,,105,0,,160,210,180,55,110,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Dagger (XIV),eis_dagger,,XIV Battlegroup,,,350,75,300,,75,0,,160,320,230,110,190,10,FRONT,,80,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Gunblade (XIV),eis_gunblade,,Iron Shell,,,500,150,250,,105,0,,250,330,300,200,300,25,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Gunshield (XIV),eis_gunshield,,Iron Shell,,,650,150,200,,50,0,,160,300,250,200,300,30,FRONT,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Mining Pod (H),eis_mining_drone,,Hegemony,,,600,150,1500,,100,0,,110,70,70,40,80,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Talon (H),eis_talon,,Hegemony,,,250,60,470,,105,0,,290,360,270,135,270,10,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Piranha (XlV),eis_piranha,,XlV Battlegroup,,,500,100,270,,105,0,,135,180,180,35,110,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,4,4,,
Thunder (XIV),eis_thunder,,XIV Battlegroup,,,500,120,750,,100,0,,385,510,425,130,255,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Thunder Mk. II (XIV),eis_thunder_mk2,,Iron Shell,,,500,120,400,,40,0,,315,420,350,105,210,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Peacekeeper (XIV),eis_peacekeeper,,Iron Shell,eis_secondwind,,600,135,600,,70,0,,255,310,275,180,180,60,FRONT,,360,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Amity (XIV),eis_amity,,Iron Shell,eis_secondwind,,700,105,700,,70,0,,175,140,140,140,140,70,OMNI,,140,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
#Frigates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courageous (XIV),eis_courageous,Frigate,XIV Battlegroup,eis_drone_strike,7,2000,500,2100,,180,50,1,179,200,175,125,350,250,FRONT,,165,0.22,1,,,10,25,25,20,1,20,11,45000,10,20,240,0.25,7,7,,,,,,,,eis_bp,0.7,0.5,2,2,,
Valorous (XIV),eis_valorous,Frigate,Iron Shell,eis_zandatsu,15,1600,450,1600,,210,60,1,190,200,175,125,350,200,FRONT,,156,0.22,1,,,1,1,25,20,1,20,12,100000,10,20,180,0.25,15,15,,,,,,,,"eis_bp, eisceleste_bp",0.1,0.7,3,4,,
#Destroyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audacious (XIV),eis_audacious,Destroyer,Iron Shell,eis_jump,11,4000,650,6000,,300,105,2,100,90,60,40,45,350,FRONT,,120,0.4,1.1,,,50,70,80,50,2,25,9,65000,5,15,360,0.25,13,13,,,,,,,,"eis_bp, eisceleste_bp",0.6,0.5,2,3,,
Flagellator (XIV),eis_flagellator,Destroyer,XIV Battlegroup,eis_rampagedrive,11,6000,800,5000,,300,105,2,90,100,60,40,40,450,FRONT,,90,0.4,1,,,50,90,70,70,3,28,9,52500,5,12,420,0.25,10,10,,,,,,,,"XIV_bp, eis_bp",0.7,0.4,2,3,,
#Cruisers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eradicator (XIV),eis_eradicator,Fast Cruiser,XIV Battlegroup,ammofeed,14,9000,1200,9000,,400,155,,70,50,40,15,20,1800,OMNI,,150,0.4,1,,,120,170,100,120,4,30,9,175000,4,12,540,0.25,22,22,,,,,,,,eis_bp,,0.5,2,4,,
Mora (XIV),eis_mora,Siege Carrier,XIV Battlegroup,eis_damper,16,10000,1250,7000,,350,130,3,45,20,10,10,10,2000,OMNI,,150,0.4,1,,,250,400,100,60,4,15,8,218750,4,12,420,0.25,20,20,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","XIV_bp, eis_bp",,0.4,2,3,,
Vengeance (XIV),eis_vengeance,Battlecarrier,Iron Shell,eis_taste_vengeance,17,9000,1100,11000,,450,160,3,75,60,50,25,35,1200,FRONT,,120,0.3,1,,,140,200,120,140,4,33,8,200000,3,15,510,0.25,30,30,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","eis_bp, eisceleste_bp",0.45,0.5,2,3,,
Indomitable (XIV),eis_indomitable,Heavy Cruiser,XIV Battlegroup,eis_rampagedrive,17,10000,1250,10000,,450,195,,50,35,20,18,18,2250,FRONT,,150,0.45,1,,,150,200,150,150,5,30,8,187500,4,12,540,0.25,25,25,,,,,,,WEAPONS_FRONT_TO_BACK,"XIV_bp, eis_bp",,0.4,2,4,,
Champion (XIV),eis_champion,Heavy Cruiser,XIV Battlegroup,eis_highballisticfocus,18,10000,1250,10000,,550,170,,60,40,30,15,20,1500,FRONT,,210,0.4,0.8,,,200,300,150,150,4,38,8,187500,4,12,480,0.25,25,25,,,,,,,,eis_bp,,0.5,2,4,,
#Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endeavor (XIV),eis_endeavor,Battlecarrier,XIV Battlegroup,eis_jump,28,12000,1000,15000,,700,280,3,70,48,37,14,14,3000,OMNI,,120,0.3,1,,,550,1200,250,250,12,20,8,600000,3,15,660,0.25,40,40,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","XIV_bp, eis_bp",,0.4,2,4,,
